,label,path,height,width,x1,y1,x2,y2
51,other,Dataset\126_SV.png,97,73,244,170,317,267
52,no_stopping,Dataset\126_SV.png,40,40,133,209,173,249
53,one_way_street,Dataset\126_SV.png,49,50,250,125,300,174
54,no_stopping,Dataset\127_SV.png,102,111,71,226,182,328
55,no_stopping,Dataset\128_SV.png,159,191,86,276,277,435
56,other,Dataset\128_SV.png,72,136,128,431,264,503
57,other,Dataset\129_SV.png,51,55,210,252,265,303
58,no_stopping,Dataset\129_SV.png,60,72,204,199,276,259
59,no_entry_for_vehicles,Dataset\129_SV.png,32,23,470,289,493,321
60,endof_pedestrian_zone,Dataset\12_IMG.png,476,369,846,869,1215,1345
61,no_stopping,Dataset\12_IMG.png,331,297,987,1335,1284,1666
62,no_stopping,Dataset\130_SV.png,76,71,488,310,559,386
63,pedestrian,Dataset\130_SV.png,21,22,388,335,410,356
64,priority_road,Dataset\130_SV.png,25,26,386,311,412,336
65,pass_on_right,Dataset\130_SV.png,19,21,17,366,38,385
66,no_stopping,Dataset\131_SV.png,55,50,499,250,549,305
67,parking,Dataset\131_SV.png,39,30,498,170,528,209
68,parking,Dataset\131_SV.png,25,20,369,190,389,215
69,parking,Dataset\131_SV.png,18,13,330,216,343,234
70,no_entry_for_vehicles,Dataset\131_SV.png,13,13,78,216,91,229
71,no_entry_for_vehicles,Dataset\131_SV.png,12,13,235,218,248,230
72,yield,Dataset\131_SV.png,19,21,254,196,275,215
73,turn_right_ahead,Dataset\131_SV.png,17,19,255,215,274,232
74,other,Dataset\131_SV.png,25,26,527,184,553,209
75,other,Dataset\131_SV.png,21,25,527,210,552,231
76,no_stopping,Dataset\132_SV.png,94,112,574,108,686,202
77,stop,Dataset\132_SV.png,29,31,101,147,132,176
78,pedestrian,Dataset\132_SV.png,32,33,167,159,200,191
79,no_stopping,Dataset\133_SV.png,20,20,340,313,360,333
80,other,Dataset\133_SV.png,19,12,316,326,328,345
81,other,Dataset\133_SV.png,15,17,342,332,359,347
82,no_entry_for_vehicles,Dataset\134_SV.png,30,37,201,228,238,258
83,pedestrian,Dataset\135_SV.png,46,47,297,168,344,214
84,no_stopping,Dataset\135_SV.png,32,30,272,163,302,195
85,no_stopping,Dataset\136_SV.png,40,43,130,208,173,248
86,one_way_street,Dataset\136_SV.png,57,53,247,120,300,177
87,other,Dataset\136_SV.png,98,77,242,172,319,270
88,other,Dataset\136_SV.png,22,36,134,245,170,267
89,one_way_street,Dataset\137_SV.png,68,80,325,162,405,230
90,one_way_street,Dataset\138_SV.png,26,27,248,153,275,179
91,one_way_street,Dataset\139_SV.png,82,63,117,71,180,153
92,no_vehicles_taller_than_indicated,Dataset\139_SV.png,66,51,185,89,236,155
93,parking,Dataset\139_SV.png,107,51,315,168,366,275
94,other,Dataset\139_SV.png,53,40,310,272,350,325
95,other,Dataset\140_SV.png,36,27,335,93,362,129
96,one_way_street,Dataset\140_SV.png,17,19,338,78,357,95
97,parking,Dataset\140_SV.png,19,15,264,91,279,110
98,one_way_street,Dataset\141_SV.png,51,46,83,121,129,172
99,no_vehicles_taller_than_indicated,Dataset\141_SV.png,48,39,134,119,173,167
100,one_way_street,Dataset\142_SV.png,41,47,177,108,224,149
101,one_way_street,Dataset\143_SV.png,19,17,743,234,760,253
102,parking,Dataset\143_SV.png,22,16,623,246,639,268
103,parking,Dataset\143_SV.png,16,19,339,261,358,277
104,other,Dataset\143_SV.png,51,66,125,227,191,278
105,other,Dataset\143_SV.png,18,18,621,266,639,284
106,other,Dataset\143_SV.png,35,23,740,252,763,287
107,other,Dataset\144_SV.png,18,22,321,260,343,278
108,one_way_street,Dataset\144_SV.png,17,21,321,244,342,261
109,no_entry_for_vehicles,Dataset\144_SV.png,36,20,584,223,604,259
110,one_way_street,Dataset\145_IMG.png,2379,2374,249,373,2623,2752
111,one_way_street,Dataset\148_SV.png,44,60,392,173,452,217
112,one_way_street,Dataset\149_SV.png,39,39,171,108,210,147
113,endof_pedestrian_zone,Dataset\14_IMG.png,1286,938,1025,494,1963,1780
114,no_stopping,Dataset\14_IMG.png,883,828,1346,1745,2174,2628
115,no_stopping,Dataset\150_SV.png,28,24,227,161,251,189
116,one_way_street,Dataset\150_SV.png,21,23,230,123,253,144
117,other,Dataset\150_SV.png,20,23,230,142,253,162
118,parking,Dataset\151_SV.png,30,23,121,112,144,142
119,parking,Dataset\151_SV.png,39,35,543,139,578,178
120,other,Dataset\151_SV.png,34,20,176,156,196,190
121,other,Dataset\151_SV.png,27,12,181,132,193,159
122,other,Dataset\151_SV.png,18,31,549,178,580,196
123,one_way_street,Dataset\151_SV.png,30,33,541,110,574,140
124,one_way_street,Dataset\151_SV.png,25,15,180,111,195,136
125,one_way_street,Dataset\152_SV.png,18,18,318,141,336,159
126,parking,Dataset\152_SV.png,21,17,122,132,139,153
127,parking,Dataset\152_SV.png,13,8,150,137,158,150
128,other,Dataset\153_SV.png,34,34,131,94,165,128
129,other,Dataset\154_SV.png,18,22,61,90,83,108
130,other,Dataset\156_IMG.png,734,708,1280,713,1988,1447
131,priority_road,Dataset\157_SV.png,50,56,684,117,740,167
132,parking,Dataset\158_SV.png,32,32,280,111,312,143
133,parking,Dataset\159_SV.png,54,45,35,93,80,147
134,other,Dataset\159_SV.png,37,25,111,103,136,140
135,endof_pedestrian_zone,Dataset\15_IMG.png,705,526,1201,1195,1727,1900
136,parking,Dataset\15_IMG.png,27,18,1484,2114,1502,2141
137,other,Dataset\160_SV.png,29,32,128,178,160,207
138,other,Dataset\160_SV.png,15,18,444,218,462,233
139,other,Dataset\160_SV.png,46,51,863,183,914,229
140,other,Dataset\160_SV.png,20,56,860,226,916,246
141,other,Dataset\160_SV.png,22,15,687,213,702,235
142,parking,Dataset\160_SV.png,42,28,127,134,155,176
143,parking,Dataset\160_SV.png,21,16,445,198,461,219
144,parking,Dataset\160_SV.png,11,9,535,209,544,220
145,parking,Dataset\160_SV.png,64,52,865,121,917,185
146,one_way_street,Dataset\160_SV.png,51,52,866,74,918,125
147,one_way_street,Dataset\161_SV.png,17,16,341,67,357,84
148,parking,Dataset\161_SV.png,17,12,265,78,277,95
149,parking,Dataset\161_SV.png,10,9,125,93,134,103
150,parking,Dataset\162_SV.png,44,28,116,63,144,107
151,other,Dataset\162_SV.png,29,29,116,104,145,133
152,other,Dataset\162_SV.png,9,21,121,141,142,150
153,other,Dataset\162_SV.png,12,23,120,131,143,143
154,other,Dataset\162_SV.png,17,20,896,126,916,143
155,priority_road,Dataset\162_SV.png,21,27,894,105,921,126
156,priority_road,Dataset\163_SV.png,50,50,537,67,587,117
157,no_right_turn,Dataset\163_SV.png,53,57,533,117,590,170
158,other,Dataset\163_SV.png,37,38,543,169,581,206
159,other,Dataset\163_SV.png,49,54,742,135,796,184
160,other,Dataset\164_SV.png,91,98,603,146,701,237
161,other,Dataset\164_SV.png,30,92,603,232,695,262
162,other,Dataset\164_SV.png,30,90,603,259,693,289
163,parking,Dataset\165_SV.png,31,25,113,88,138,119
164,parking,Dataset\165_SV.png,16,12,233,124,245,140
165,parking,Dataset\165_SV.png,29,24,596,100,620,129
166,pedestrian,Dataset\165_SV.png,43,41,683,119,724,162
167,other,Dataset\165_SV.png,23,23,596,130,619,153
168,other,Dataset\165_SV.png,9,24,596,152,620,161
169,other,Dataset\165_SV.png,19,25,114,118,139,137
170,other,Dataset\165_SV.png,17,12,394,134,406,151
171,other,Dataset\166_SV.png,81,65,542,321,607,402
172,other,Dataset\167_SV.png,10,37,341,270,378,280
173,other,Dataset\168_SV.png,39,54,98,141,152,180
174,other,Dataset\168_SV.png,38,58,97,184,155,222
175,other,Dataset\169_SV.png,29,40,618,161,658,190
176,other,Dataset\169_SV.png,18,16,90,156,106,174
177,other,Dataset\169_SV.png,11,11,198,175,209,186
178,other,Dataset\169_SV.png,11,38,619,190,657,201
179,pedestrian,Dataset\169_SV.png,50,71,743,149,814,199
180,one_way_street,Dataset\169_SV.png,30,38,622,94,660,124
181,parking,Dataset\169_SV.png,42,40,620,122,660,164
182,parking,Dataset\169_SV.png,24,18,89,133,107,157
183,parking,Dataset\169_SV.png,17,12,198,160,210,177
184,other,Dataset\169_SV.png,19,15,379,168,394,187
185,endof_pedestrian_zone,Dataset\16_IMG.png,1496,1148,949,382,2097,1878
186,other,Dataset\170_SV.png,16,26,121,213,147,229
187,other,Dataset\170_SV.png,8,28,120,229,148,237
188,parking,Dataset\170_SV.png,44,28,121,170,149,214
189,parking,Dataset\171_SV.png,50,77,66,192,143,242
190,no_stopping,Dataset\171_SV.png,67,100,46,131,146,198
191,parking,Dataset\171_SV.png,33,21,516,178,537,211
192,other,Dataset\171_SV.png,21,20,516,210,536,231
193,endof_pedestrian_zone,Dataset\172_SV.png,101,74,332,139,406,240
194,no_entry_for_vehicles,Dataset\174_SV.png,51,20,195,158,215,209
195,no_entry_for_vehicles,Dataset\174_SV.png,37,30,778,212,808,249
196,parking,Dataset\175_SV.png,39,34,543,139,577,178
197,parking,Dataset\175_SV.png,30,20,122,114,142,144
198,one_way_street,Dataset\175_SV.png,26,13,182,111,195,137
199,one_way_street,Dataset\175_SV.png,30,32,542,111,574,141
200,other,Dataset\175_SV.png,30,19,176,158,195,188
201,other,Dataset\175_SV.png,23,11,182,135,193,158
202,other,Dataset\175_SV.png,13,18,121,144,139,157
203,other,Dataset\175_SV.png,19,32,548,177,580,196
204,other,Dataset\175_SV.png,19,31,550,194,581,213
205,other,Dataset\176_IMG.png,131,240,1145,1627,1385,1758
206,parking,Dataset\176_IMG.png,289,222,1166,1345,1388,1634
207,parking,Dataset\178_IMG.png,503,358,1359,923,1717,1426
208,other,Dataset\178_IMG.png,219,339,1343,1394,1682,1613
209,other,Dataset\179_IMG.png,274,661,301,1795,962,2069
210,other,Dataset\179_IMG.png,487,696,323,1395,1019,1882
211,parking,Dataset\179_IMG.png,952,718,388,591,1106,1543
212,other,Dataset\17_IMG.png,189,136,1473,2601,1609,2790
213,parking,Dataset\180_IMG.png,1404,987,314,278,1301,1682
214,other,Dataset\180_IMG.png,743,926,297,1391,1223,2134
215,other,Dataset\180_IMG.png,461,957,223,1973,1180,2434
216,other,Dataset\181_IMG.png,187,600,1262,2360,1862,2547
217,other,Dataset\181_IMG.png,561,596,1258,1817,1854,2378
218,parking,Dataset\181_IMG.png,670,570,1262,1186,1832,1856
219,parking,Dataset\182_IMG.png,1144,882,1180,434,2062,1578
220,other,Dataset\182_IMG.png,940,948,1219,1473,2167,2413
221,other,Dataset\183_IMG.png,713,800,910,1647,1710,2360
222,parking,Dataset\184_IMG.png,597,442,394,1045,836,1642
223,other,Dataset\184_IMG.png,265,438,398,1625,836,1890
224,other,Dataset\184_IMG.png,145,428,401,1887,829,2032
225,other,Dataset\185_IMG.png,273,421,1553,1469,1974,1742
226,other,Dataset\185_IMG.png,144,452,1546,1732,1998,1876
227,parking,Dataset\185_IMG.png,593,442,1542,897,1984,1490
228,parking,Dataset\186_IMG.png,400,288,516,1242,804,1642
229,parking,Dataset\186_IMG.png,345,247,2134,1390,2381,1735
230,other,Dataset\186_IMG.png,87,253,2136,1720,2389,1807
231,other,Dataset\186_IMG.png,82,242,2144,1800,2386,1882
232,other,Dataset\186_IMG.png,175,293,516,1627,809,1802
233,other,Dataset\186_IMG.png,107,292,514,1785,806,1892
234,no_right_turn,Dataset\187_SV.png,25,28,851,124,879,149
235,priority_road,Dataset\187_SV.png,23,25,853,100,878,123
236,other,Dataset\187_SV.png,24,24,902,135,926,159
237,one_way_street,Dataset\188_SV.png,18,19,317,141,336,159
238,parking,Dataset\188_SV.png,20,17,121,132,138,152
239,parking,Dataset\188_SV.png,13,10,150,137,160,150
240,parking,Dataset\188_SV.png,10,8,171,134,179,144
241,parking,Dataset\189_SV.png,55,45,65,157,110,212
242,parking,Dataset\189_SV.png,17,14,339,210,353,227
243,other,Dataset\189_SV.png,41,45,64,209,109,250
244,other,Dataset\189_SV.png,27,19,558,220,577,247
245,other,Dataset\189_SV.png,19,14,339,226,353,245
246,endof_pedestrian_zone,Dataset\18_SV.png,114,79,302,70,381,184
247,no_stopping,Dataset\191_SV.png,35,49,419,147,468,182
248,parking,Dataset\191_SV.png,32,33,421,87,454,119
249,parking,Dataset\191_SV.png,13,14,291,125,305,138
250,turn_right_ahead,Dataset\191_SV.png,14,16,196,126,212,140
251,yield,Dataset\191_SV.png,14,19,194,113,213,127
252,parking,Dataset\192_SV.png,42,25,73,111,98,153
253,other,Dataset\192_SV.png,17,22,75,152,97,169
254,other,Dataset\192_SV.png,10,24,74,169,98,179
255,other,Dataset\193_SV.png,16,22,110,102,132,118
256,other,Dataset\193_SV.png,14,25,108,119,133,133
257,parking,Dataset\193_SV.png,37,23,110,67,133,104
258,yield,Dataset\194_SV.png,18,20,72,332,92,350
259,turn_right_ahead,Dataset\194_SV.png,19,17,74,349,91,368
260,parking,Dataset\194_SV.png,17,20,219,345,239,362
261,parking,Dataset\194_SV.png,69,58,637,247,695,316
262,other,Dataset\194_SV.png,47,52,652,313,704,360
263,other,Dataset\195_SV.png,27,51,409,227,460,254
264,parking,Dataset\195_SV.png,70,60,406,158,466,228
265,parking,Dataset\196_SV.png,56,24,79,54,103,110
266,parking,Dataset\196_SV.png,47,24,142,43,166,90
267,other,Dataset\196_SV.png,29,22,81,108,103,137
268,other,Dataset\196_SV.png,33,20,142,92,162,125
269,other,Dataset\196_SV.png,14,24,140,122,164,136
270,other,Dataset\197_SV.png,18,34,379,227,413,245
271,other,Dataset\197_SV.png,11,33,381,244,414,255
272,parking,Dataset\197_SV.png,42,35,378,185,413,227
273,parking,Dataset\198_SV.png,43,25,280,130,305,173
274,other,Dataset\198_SV.png,20,27,272,171,299,191
275,other,Dataset\198_SV.png,23,29,268,187,297,210
276,other,Dataset\199_SV.png,40,79,116,224,195,264
277,other,Dataset\199_SV.png,34,23,739,253,762,287
278,other,Dataset\199_SV.png,18,17,621,267,638,285
279,parking,Dataset\199_SV.png,57,68,138,176,206,233
280,parking,Dataset\199_SV.png,19,18,339,261,357,280
281,parking,Dataset\199_SV.png,18,17,203,243,220,261
282,parking,Dataset\199_SV.png,22,18,622,246,640,268
283,one_way_street,Dataset\199_SV.png,20,16,743,234,759,254
284,endof_zone,Dataset\19_IMG.png,752,569,1232,930,1801,1682
285,cycleway,Dataset\1_SV.png,35,27,434,81,461,116
286,pedestrian,Dataset\200_SV.png,144,163,327,79,490,223
287,pedestrian,Dataset\201_SV.png,65,50,576,125,626,190
288,no_stopping,Dataset\201_SV.png,39,41,822,118,863,157
289,no_pedestrians,Dataset\202_SV.png,72,58,340,156,398,228
290,other,Dataset\202_SV.png,74,62,338,88,400,162
291,priority_road,Dataset\202_SV.png,88,67,335,6,402,94
292,other,Dataset\203_SV.png,41,51,490,76,541,117
293,pedestrian,Dataset\203_SV.png,37,50,492,114,542,151
294,other,Dataset\204_SV.png,32,35,13,108,48,140
295,priority_road,Dataset\204_SV.png,41,42,10,71,52,112
296,priority_road,Dataset\205_SV.png,62,73,99,141,172,203
297,pedestrian,Dataset\205_SV.png,52,53,103,200,156,252
298,pedestrian,Dataset\206_SV.png,56,86,757,170,843,226
299,priority_road,Dataset\206_SV.png,72,88,733,102,821,174
300,priority_road,Dataset\207_SV.png,19,20,363,128,383,147
301,priority_road,Dataset\207_SV.png,19,23,359,110,382,129
302,pedestrian,Dataset\208_SV.png,47,69,742,152,811,199
303,one_way_street,Dataset\208_SV.png,32,39,623,92,662,124
304,parking,Dataset\208_SV.png,40,37,622,123,659,163
305,parking,Dataset\208_SV.png,27,17,90,131,107,158
306,parking,Dataset\208_SV.png,15,12,198,161,210,176
307,other,Dataset\208_SV.png,18,17,90,156,107,174
308,other,Dataset\208_SV.png,18,14,380,169,394,187
309,other,Dataset\208_SV.png,30,42,617,162,659,192
310,pedestrian,Dataset\209_SV.png,117,118,403,141,521,258
311,endof_zone,Dataset\20_IMG.png,1222,935,997,995,1932,2217
312,one_way_street,Dataset\210_SV.png,15,13,536,206,549,221
313,other,Dataset\210_SV.png,26,38,72,213,110,239
314,other,Dataset\211_SV.png,45,49,117,196,166,241
315,other,Dataset\211_SV.png,13,51,115,242,166,255
316,one_way_street,Dataset\211_SV.png,49,50,120,87,170,136
317,parking,Dataset\211_SV.png,62,52,118,134,170,196
318,pedestrian,Dataset\211_SV.png,126,127,325,123,452,249
319,pedestrian,Dataset\212_SV.png,95,95,29,84,124,179
320,pedestrian,Dataset\213_SV.png,130,148,314,119,462,249
321,one_way_street,Dataset\213_SV.png,47,52,118,87,170,134
322,parking,Dataset\213_SV.png,61,48,120,134,168,195
323,other,Dataset\213_SV.png,43,54,113,197,167,240
324,pedestrian,Dataset\214_SV.png,63,55,326,192,381,255
325,no_stopping,Dataset\214_SV.png,68,69,642,164,711,232
326,pedestrian,Dataset\215_SV.png,44,36,187,187,223,231
327,pedestrian,Dataset\216_SV.png,30,30,170,161,200,191
328,stop,Dataset\216_SV.png,31,30,102,147,132,178
329,pedestrian,Dataset\217_SV.png,37,33,688,121,721,158
330,one_way_street,Dataset\217_SV.png,24,23,598,78,621,102
331,parking,Dataset\217_SV.png,32,25,597,100,622,132
332,parking,Dataset\217_SV.png,30,24,114,89,138,119
333,parking,Dataset\217_SV.png,15,12,234,125,246,140
334,other,Dataset\217_SV.png,21,23,115,117,138,138
335,other,Dataset\217_SV.png,9,23,116,138,139,147
336,other,Dataset\217_SV.png,21,23,596,131,619,152
337,other,Dataset\217_SV.png,10,27,593,151,620,161
338,other,Dataset\218_SV.png,85,61,42,179,103,264
339,other,Dataset\218_SV.png,27,52,46,264,98,291
340,other,Dataset\218_SV.png,62,47,731,248,778,310
341,parking,Dataset\218_SV.png,123,64,45,64,109,187
342,parking,Dataset\218_SV.png,81,43,731,168,774,249
343,pedestrian,Dataset\219_SV.png,40,41,301,171,342,211
344,no_stopping,Dataset\219_SV.png,29,29,273,162,302,191
345,no_entry_for_vehicles,Dataset\21_SV.png,20,21,233,94,254,114
346,parking,Dataset\21_SV.png,15,11,35,82,46,97
347,pedestrian,Dataset\220_SV.png,96,56,360,115,416,211
348,pedestrian,Dataset\221_SV.png,38,38,431,335,469,373
349,no_stopping,Dataset\221_SV.png,26,28,402,327,430,353
350,pedestrian_zone,Dataset\222_SV.png,84,90,369,93,459,177
351,one_way_street,Dataset\222_SV.png,42,55,394,172,449,214
352,other,Dataset\222_SV.png,43,57,396,213,453,256
353,pedestrian_zone,Dataset\223_SV.png,110,88,220,123,308,233
354,pedestrian_zone,Dataset\224_SV.png,76,68,265,158,333,234
355,pedestrian_zone,Dataset\225_IMG.png,800,600,1280,1013,1880,1813
356,pedestrian_zone,Dataset\226_IMG.png,909,713,1184,986,1897,1895
357,pedestrian_zone,Dataset\227_IMG.png,1374,1152,784,778,1936,2152
358,no_entry_for_vehicles,Dataset\229_SV.png,39,22,581,221,603,260
359,one_way_street,Dataset\229_SV.png,17,20,322,244,342,261
360,other,Dataset\229_SV.png,16,20,322,260,342,276
361,no_entry_for_vehicles,Dataset\22_SV.png,43,27,579,219,606,262
362,one_way_street,Dataset\22_SV.png,16,20,321,243,341,259
363,pedestrian_zone,Dataset\230_SV.png,90,74,119,210,193,300
364,shared_pedestrian_and_cycle_path,Dataset\231_IMG.png,200,167,1219,1290,1386,1490
365,shared_pedestrian_and_cycle_path,Dataset\232_IMG.png,227,200,1256,1063,1456,1290
366,endof_pedestrian_zone,Dataset\233_IMG.png,1613,1278,1049,1939,2327,3552
367,speed_limit_zone,Dataset\234_IMG.png,1609,1669,445,73,2114,1682
368,endof_pedestrian_zone,Dataset\234_IMG.png,1766,1313,793,1573,2106,3339
369,endof_pedestrian_zone,Dataset\235_IMG.png,1774,1387,1019,1769,2406,3543
370,speed_limit_zone,Dataset\235_IMG.png,1613,1665,732,243,2397,1856
371,stop,Dataset\236_IMG.png,530,291,1210,1206,1501,1736
372,other,Dataset\236_IMG.png,422,270,1240,1684,1510,2106
373,other,Dataset\237_IMG.png,662,445,922,1994,1367,2656
374,stop,Dataset\238_SV.png,33,35,128,103,163,136
375,pedestrian,Dataset\238_SV.png,33,35,200,118,235,151
376,stop,Dataset\239_SV.png,109,123,551,137,674,246
377,no_entry_for_vehicles,Dataset\23_SV.png,52,58,311,224,369,276
378,parking,Dataset\23_SV.png,64,33,100,203,133,267
379,pass_on_right,Dataset\23_SV.png,44,39,513,288,552,332
380,turn_left_ahead,Dataset\240_IMG.png,195,199,1483,1465,1682,1660
381,no_entry_for_vehicles,Dataset\240_IMG.png,71,62,856,1683,918,1754
382,cycleway,Dataset\240_IMG.png,65,67,940,1738,1007,1803
383,turn_left_ahead,Dataset\241_IMG.png,586,572,815,949,1387,1535
384,turn_right_ahead,Dataset\242_SV.png,59,90,572,352,662,411
385,yield,Dataset\242_SV.png,57,107,541,295,648,352
386,no_entry_for_vehicles,Dataset\242_SV.png,10,15,220,392,235,402
387,no_entry_for_vehicles,Dataset\242_SV.png,10,10,67,389,77,399
388,turn_right_here,Dataset\243_SV.png,39,41,311,65,352,104
389,no_entry_for_vehicles,Dataset\24_SV.png,65,66,40,165,106,230
390,no_entry_for_vehicles,Dataset\24_SV.png,52,56,757,180,813,232
391,no_entry_for_vehicles,Dataset\24_SV.png,26,28,305,245,333,271
392,turn_left_ahead,Dataset\24_SV.png,37,53,696,294,749,331
393,no_entry_for_vehicles,Dataset\25_SV.png,49,62,321,175,383,224
394,no_entry_for_vehicles,Dataset\26_SV.png,24,34,355,232,389,256
395,no_entry_for_vehicles,Dataset\27_SV.png,42,37,102,91,139,133
396,no_entry_for_vehicles,Dataset\28_SV.png,47,43,151,301,194,348
397,no_entry_for_vehicles,Dataset\29_SV.png,31,40,141,174,181,205
398,pass_on_right,Dataset\29_SV.png,31,30,408,239,438,270
399,turn_left_or_right_only,Dataset\29_SV.png,21,17,563,222,580,243
400,pedestrian,Dataset\29_SV.png,14,13,555,201,568,215
401,no_left_turn,Dataset\29_SV.png,17,18,552,184,570,201
402,yield,Dataset\29_SV.png,19,23,549,164,572,183
403,other,Dataset\29_SV.png,23,20,338,226,358,249
404,cycleway,Dataset\2_SV.png,425,269,1146,1369,1415,1794
405,no_entry_for_vehicles,Dataset\2_SV.png,442,324,746,983,1070,1425
406,no_entry_for_vehicles,Dataset\30_SV.png,77,102,5,175,107,252
407,no_entry_for_vehicles,Dataset\31_SV.png,54,66,352,197,418,251
408,no_entry_for_vehicles,Dataset\32_SV.png,21,19,70,138,89,159
409,no_entry_for_vehicles,Dataset\32_SV.png,20,19,449,123,468,143
410,other,Dataset\32_SV.png,20,19,522,92,541,112
411,no_entry_for_vehicles,Dataset\33_SV.png,57,70,72,254,142,311
412,other,Dataset\33_SV.png,42,52,75,306,127,348
413,no_entry_for_vehicles(both_directions),Dataset\33_SV.png,21,24,771,305,795,326
414,no_entry_for_vehicles,Dataset\34_IMG.png,457,439,1110,934,1549,1391
415,no_entry_for_vehicles,Dataset\35_IMG.png,682,661,836,913,1497,1595
416,other,Dataset\36_IMG.png,713,913,488,1221,1401,1934
417,no_entry_for_vehicles,Dataset\36_IMG.png,1235,1179,388,165,1567,1400
418,no_entry_for_vehicles,Dataset\37_IMG.png,1417,922,736,291,1658,1708
419,other,Dataset\37_IMG.png,913,813,727,1443,1540,2356
420,other,Dataset\38_IMG.png,1200,613,780,1360,1393,2560
421,no_entry_for_vehicles,Dataset\38_IMG.png,1765,696,810,39,1506,1804
422,cycleway,Dataset\3_SV.png,441,290,1070,856,1360,1297
423,no_entry_for_vehicles,Dataset\3_SV.png,494,307,673,438,980,932
424,no_entry_for_vehicles,Dataset\40_IMG.png,1339,2309,271,526,2580,1865
425,no_entry_for_vehicles,Dataset\41_IMG.png,1648,2678,93,269,2771,1917
426,other,Dataset\41_IMG.png,1753,2983,23,1886,3006,3639
427,no_entry_for_vehicles,Dataset\42_IMG.png,113,89,1448,1203,1537,1316
428,no_entry_for_vehicles,Dataset\43_IMG.png,108,100,1536,1243,1636,1351
429,no_entry_for_vehicles,Dataset\44_IMG.png,159,153,1444,1287,1597,1446
430,no_entry_for_vehicles,Dataset\45_IMG.png,202,194,1683,1425,1877,1627
431,no_entry_for_vehicles,Dataset\46_IMG.png,267,250,1371,1170,1621,1437
432,no_entry_for_vehicles,Dataset\47_IMG.png,381,349,1293,763,1642,1144
