,Unnamed: 0,label,path,height,width,x1,y1,x2,y2
29,29,other,cropped_ds\endof_pedestrian_zone\33.png,1279,913,1029,490,1942,1769
30,30,other,cropped_ds\other\35.png,347,552,1275,1739,1827,2086
31,31,other,cropped_ds\other\36.png,374,665,1306,1365,1971,1739
32,32,no_stopping,cropped_ds\no_stopping\37.png,779,753,1227,634,1980,1413
33,33,no_stopping,cropped_ds\no_stopping\38.png,483,479,1201,1308,1680,1791
34,34,other,cropped_ds\other\39.png,252,374,1232,1752,1606,2004
35,35,other,cropped_ds\other\41.png,435,631,1062,1582,1693,2017
36,36,other,cropped_ds\other\42.png,522,1795,519,243,2314,765
37,37,no_stopping,cropped_ds\no_stopping\43.png,904,891,967,717,1858,1621
38,38,other,cropped_ds\endof_pedestrian_zone\44.png,1779,1335,1071,1773,2406,3552
39,39,other,cropped_ds\speed_limit_zone\45.png,1661,1766,688,217,2454,1878
40,40,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\46.png,27,23,212,136,235,163
41,41,other,cropped_ds\other\47.png,19,18,215,162,233,181
42,42,no_stopping,cropped_ds\no_stopping\48.png,62,87,355,280,442,342
43,43,no_stopping,cropped_ds\no_stopping\49.png,66,102,47,129,149,195
44,44,other,cropped_ds\other\50.png,49,75,65,192,140,241
45,45,parking,cropped_ds\parking\51.png,32,20,517,180,537,212
46,46,other,cropped_ds\other\53.png,43,64,521,223,585,266
47,47,other,cropped_ds\other\54.png,28,38,163,182,201,210
48,48,no_stopping,cropped_ds\no_stopping\55.png,62,44,158,122,202,184
49,49,no_stopping,cropped_ds\no_stopping\56.png,29,48,543,205,591,234
50,50,other,cropped_ds\other\58.png,15,32,137,248,169,263
51,51,other,cropped_ds\other\59.png,97,73,244,170,317,267
52,52,no_stopping,cropped_ds\no_stopping\60.png,40,40,133,209,173,249
53,53,other,cropped_ds\one_way_street\61.png,49,50,250,125,300,174
54,54,no_stopping,cropped_ds\no_stopping\62.png,102,111,71,226,182,328
55,55,no_stopping,cropped_ds\no_stopping\64.png,159,191,86,276,277,435
56,56,other,cropped_ds\other\65.png,72,136,128,431,264,503
57,57,other,cropped_ds\other\66.png,51,55,210,252,265,303
58,58,no_stopping,cropped_ds\no_stopping\67.png,60,72,204,199,276,259
59,59,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\68.png,32,23,470,289,493,321
60,60,other,cropped_ds\endof_pedestrian_zone\69.png,476,369,846,869,1215,1345
61,61,no_stopping,cropped_ds\no_stopping\70.png,331,297,987,1335,1284,1666
62,62,no_stopping,cropped_ds\no_stopping\71.png,76,71,488,310,559,386
63,63,other,cropped_ds\pedestrian\72.png,21,22,388,335,410,356
64,64,other,cropped_ds\priority_road\73.png,25,26,386,311,412,336
65,65,other,cropped_ds\pass_on_right\74.png,19,21,17,366,38,385
66,66,no_stopping,cropped_ds\no_stopping\75.png,55,50,499,250,549,305
67,67,parking,cropped_ds\parking\76.png,39,30,498,170,528,209
68,68,parking,cropped_ds\parking\77.png,25,20,369,190,389,215
69,69,parking,cropped_ds\parking\78.png,18,13,330,216,343,234
70,70,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\79.png,13,13,78,216,91,229
71,71,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\80.png,12,13,235,218,248,230
72,72,other,cropped_ds\yield\81.png,19,21,254,196,275,215
73,73,other,cropped_ds\turn_right_ahead\82.png,17,19,255,215,274,232
74,74,other,cropped_ds\other\83.png,25,26,527,184,553,209
75,75,other,cropped_ds\other\85.png,21,25,527,210,552,231
76,76,no_stopping,cropped_ds\no_stopping\86.png,94,112,574,108,686,202
77,77,other,cropped_ds\stop\87.png,29,31,101,147,132,176
78,78,other,cropped_ds\pedestrian\88.png,32,33,167,159,200,191
79,79,no_stopping,cropped_ds\no_stopping\89.png,20,20,340,313,360,333
80,80,other,cropped_ds\other\90.png,19,12,316,326,328,345
81,81,other,cropped_ds\other\91.png,15,17,342,332,359,347
82,82,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\92.png,30,37,201,228,238,258
83,83,other,cropped_ds\pedestrian\93.png,46,47,297,168,344,214
84,84,no_stopping,cropped_ds\no_stopping\94.png,32,30,272,163,302,195
85,85,no_stopping,cropped_ds\no_stopping\95.png,40,43,130,208,173,248
86,86,other,cropped_ds\one_way_street\96.png,57,53,247,120,300,177
87,87,other,cropped_ds\other\97.png,98,77,242,172,319,270
88,88,other,cropped_ds\other\98.png,22,36,134,245,170,267
89,89,other,cropped_ds\one_way_street\99.png,68,80,325,162,405,230
90,90,other,cropped_ds\one_way_street\100.png,26,27,248,153,275,179
91,91,other,cropped_ds\one_way_street\101.png,82,63,117,71,180,153
92,92,other,cropped_ds\no_vehicles_taller_than_indicated\102.png,66,51,185,89,236,155
93,93,parking,cropped_ds\parking\103.png,107,51,315,168,366,275
94,94,other,cropped_ds\other\104.png,53,40,310,272,350,325
95,95,other,cropped_ds\other\109.png,36,27,335,93,362,129
96,96,other,cropped_ds\one_way_street\110.png,17,19,338,78,357,95
97,97,parking,cropped_ds\parking\111.png,19,15,264,91,279,110
98,98,other,cropped_ds\one_way_street\112.png,51,46,83,121,129,172
99,99,other,cropped_ds\no_vehicles_taller_than_indicated\113.png,48,39,134,119,173,167
100,100,other,cropped_ds\one_way_street\114.png,41,47,177,108,224,149
101,101,other,cropped_ds\one_way_street\115.png,19,17,743,234,760,253
102,102,parking,cropped_ds\parking\116.png,22,16,623,246,639,268
103,103,parking,cropped_ds\parking\117.png,16,19,339,261,358,277
104,104,other,cropped_ds\other\119.png,51,66,125,227,191,278
105,105,other,cropped_ds\other\120.png,18,18,621,266,639,284
106,106,other,cropped_ds\other\121.png,35,23,740,252,763,287
107,107,other,cropped_ds\other\122.png,18,22,321,260,343,278
108,108,other,cropped_ds\one_way_street\123.png,17,21,321,244,342,261
109,109,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\124.png,36,20,584,223,604,259
110,110,other,cropped_ds\one_way_street\125.png,2379,2374,249,373,2623,2752
111,111,other,cropped_ds\one_way_street\128.png,44,60,392,173,452,217
112,112,other,cropped_ds\one_way_street\131.png,39,39,171,108,210,147
113,113,other,cropped_ds\endof_pedestrian_zone\133.png,1286,938,1025,494,1963,1780
114,114,no_stopping,cropped_ds\no_stopping\134.png,883,828,1346,1745,2174,2628
115,115,no_stopping,cropped_ds\no_stopping\135.png,28,24,227,161,251,189
116,116,other,cropped_ds\one_way_street\136.png,21,23,230,123,253,144
117,117,other,cropped_ds\other\137.png,20,23,230,142,253,162
118,118,parking,cropped_ds\parking\138.png,30,23,121,112,144,142
119,119,parking,cropped_ds\parking\139.png,39,35,543,139,578,178
120,120,other,cropped_ds\other\140.png,34,20,176,156,196,190
121,121,other,cropped_ds\other\141.png,27,12,181,132,193,159
122,122,other,cropped_ds\other\142.png,18,31,549,178,580,196
123,123,other,cropped_ds\one_way_street\144.png,30,33,541,110,574,140
124,124,other,cropped_ds\one_way_street\145.png,25,15,180,111,195,136
125,125,other,cropped_ds\one_way_street\146.png,18,18,318,141,336,159
126,126,parking,cropped_ds\parking\147.png,21,17,122,132,139,153
127,127,parking,cropped_ds\parking\148.png,13,8,150,137,158,150
128,128,other,cropped_ds\other\149.png,34,34,131,94,165,128
129,129,other,cropped_ds\other\150.png,18,22,61,90,83,108
130,130,other,cropped_ds\other\152.png,734,708,1280,713,1988,1447
131,131,other,cropped_ds\priority_road\153.png,50,56,684,117,740,167
132,132,parking,cropped_ds\parking\155.png,32,32,280,111,312,143
133,133,parking,cropped_ds\parking\156.png,54,45,35,93,80,147
134,134,other,cropped_ds\other\157.png,37,25,111,103,136,140
135,135,other,cropped_ds\endof_pedestrian_zone\158.png,705,526,1201,1195,1727,1900
136,136,parking,cropped_ds\parking\159.png,27,18,1484,2114,1502,2141
137,137,other,cropped_ds\other\160.png,29,32,128,178,160,207
138,138,other,cropped_ds\other\161.png,15,18,444,218,462,233
139,139,other,cropped_ds\other\162.png,46,51,863,183,914,229
140,140,other,cropped_ds\other\163.png,20,56,860,226,916,246
141,141,other,cropped_ds\other\164.png,22,15,687,213,702,235
142,142,parking,cropped_ds\parking\165.png,42,28,127,134,155,176
143,143,parking,cropped_ds\parking\166.png,21,16,445,198,461,219
144,144,parking,cropped_ds\parking\167.png,11,9,535,209,544,220
145,145,parking,cropped_ds\parking\168.png,64,52,865,121,917,185
146,146,other,cropped_ds\one_way_street\169.png,51,52,866,74,918,125
147,147,other,cropped_ds\one_way_street\170.png,17,16,341,67,357,84
148,148,parking,cropped_ds\parking\171.png,17,12,265,78,277,95
149,149,parking,cropped_ds\parking\172.png,10,9,125,93,134,103
150,150,parking,cropped_ds\parking\173.png,44,28,116,63,144,107
151,151,other,cropped_ds\other\174.png,29,29,116,104,145,133
152,152,other,cropped_ds\other\175.png,9,21,121,141,142,150
153,153,other,cropped_ds\other\176.png,12,23,120,131,143,143
154,154,other,cropped_ds\other\177.png,17,20,896,126,916,143
155,155,other,cropped_ds\priority_road\178.png,21,27,894,105,921,126
156,156,other,cropped_ds\priority_road\179.png,50,50,537,67,587,117
157,157,other,cropped_ds\no_right_turn\180.png,53,57,533,117,590,170
158,158,other,cropped_ds\other\181.png,37,38,543,169,581,206
159,159,other,cropped_ds\other\182.png,49,54,742,135,796,184
160,160,other,cropped_ds\other\183.png,91,98,603,146,701,237
161,161,other,cropped_ds\other\184.png,30,92,603,232,695,262
162,162,other,cropped_ds\other\185.png,30,90,603,259,693,289
163,163,parking,cropped_ds\parking\187.png,31,25,113,88,138,119
164,164,parking,cropped_ds\parking\188.png,16,12,233,124,245,140
165,165,parking,cropped_ds\parking\189.png,29,24,596,100,620,129
166,166,other,cropped_ds\pedestrian\190.png,43,41,683,119,724,162
167,167,other,cropped_ds\other\191.png,23,23,596,130,619,153
168,168,other,cropped_ds\other\192.png,9,24,596,152,620,161
169,169,other,cropped_ds\other\193.png,19,25,114,118,139,137
170,170,other,cropped_ds\other\194.png,17,12,394,134,406,151
171,171,other,cropped_ds\other\195.png,81,65,542,321,607,402
172,172,other,cropped_ds\other\202.png,10,37,341,270,378,280
173,173,other,cropped_ds\other\204.png,39,54,98,141,152,180
174,174,other,cropped_ds\other\205.png,38,58,97,184,155,222
175,175,other,cropped_ds\other\206.png,29,40,618,161,658,190
176,176,other,cropped_ds\other\207.png,18,16,90,156,106,174
177,177,other,cropped_ds\other\208.png,11,11,198,175,209,186
178,178,other,cropped_ds\other\209.png,11,38,619,190,657,201
179,179,other,cropped_ds\pedestrian\210.png,50,71,743,149,814,199
180,180,other,cropped_ds\one_way_street\211.png,30,38,622,94,660,124
181,181,parking,cropped_ds\parking\212.png,42,40,620,122,660,164
182,182,parking,cropped_ds\parking\213.png,24,18,89,133,107,157
183,183,parking,cropped_ds\parking\214.png,17,12,198,160,210,177
184,184,other,cropped_ds\other\215.png,19,15,379,168,394,187
185,185,other,cropped_ds\endof_pedestrian_zone\216.png,1496,1148,949,382,2097,1878
186,186,other,cropped_ds\other\217.png,16,26,121,213,147,229
187,187,other,cropped_ds\other\218.png,8,28,120,229,148,237
188,188,parking,cropped_ds\parking\219.png,44,28,121,170,149,214
189,189,parking,cropped_ds\parking\220.png,50,77,66,192,143,242
190,190,no_stopping,cropped_ds\no_stopping\221.png,67,100,46,131,146,198
191,191,parking,cropped_ds\parking\222.png,33,21,516,178,537,211
192,192,other,cropped_ds\other\223.png,21,20,516,210,536,231
193,193,other,cropped_ds\endof_pedestrian_zone\227.png,101,74,332,139,406,240
194,194,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\231.png,51,20,195,158,215,209
195,195,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\232.png,37,30,778,212,808,249
196,196,parking,cropped_ds\parking\233.png,39,34,543,139,577,178
197,197,parking,cropped_ds\parking\234.png,30,20,122,114,142,144
198,198,other,cropped_ds\one_way_street\235.png,26,13,182,111,195,137
199,199,other,cropped_ds\one_way_street\236.png,30,32,542,111,574,141
200,200,other,cropped_ds\other\237.png,30,19,176,158,195,188
201,201,other,cropped_ds\other\238.png,23,11,182,135,193,158
202,202,other,cropped_ds\other\239.png,13,18,121,144,139,157
203,203,other,cropped_ds\other\241.png,19,32,548,177,580,196
204,204,other,cropped_ds\other\242.png,19,31,550,194,581,213
205,205,other,cropped_ds\other\243.png,131,240,1145,1627,1385,1758
206,206,parking,cropped_ds\parking\244.png,289,222,1166,1345,1388,1634
207,207,parking,cropped_ds\parking\245.png,503,358,1359,923,1717,1426
208,208,other,cropped_ds\other\246.png,219,339,1343,1394,1682,1613
209,209,other,cropped_ds\other\248.png,274,661,301,1795,962,2069
210,210,other,cropped_ds\other\249.png,487,696,323,1395,1019,1882
211,211,parking,cropped_ds\parking\250.png,952,718,388,591,1106,1543
212,212,other,cropped_ds\other\252.png,189,136,1473,2601,1609,2790
213,213,parking,cropped_ds\parking\253.png,1404,987,314,278,1301,1682
214,214,other,cropped_ds\other\254.png,743,926,297,1391,1223,2134
215,215,other,cropped_ds\other\255.png,461,957,223,1973,1180,2434
216,216,other,cropped_ds\other\256.png,187,600,1262,2360,1862,2547
217,217,other,cropped_ds\other\257.png,561,596,1258,1817,1854,2378
218,218,parking,cropped_ds\parking\258.png,670,570,1262,1186,1832,1856
219,219,parking,cropped_ds\parking\259.png,1144,882,1180,434,2062,1578
220,220,other,cropped_ds\other\260.png,940,948,1219,1473,2167,2413
221,221,other,cropped_ds\other\261.png,713,800,910,1647,1710,2360
222,222,parking,cropped_ds\parking\263.png,597,442,394,1045,836,1642
223,223,other,cropped_ds\other\264.png,265,438,398,1625,836,1890
224,224,other,cropped_ds\other\265.png,145,428,401,1887,829,2032
225,225,other,cropped_ds\other\266.png,273,421,1553,1469,1974,1742
226,226,other,cropped_ds\other\267.png,144,452,1546,1732,1998,1876
227,227,parking,cropped_ds\parking\268.png,593,442,1542,897,1984,1490
228,228,parking,cropped_ds\parking\269.png,400,288,516,1242,804,1642
229,229,parking,cropped_ds\parking\270.png,345,247,2134,1390,2381,1735
230,230,other,cropped_ds\other\271.png,87,253,2136,1720,2389,1807
231,231,other,cropped_ds\other\272.png,82,242,2144,1800,2386,1882
232,232,other,cropped_ds\other\273.png,175,293,516,1627,809,1802
233,233,other,cropped_ds\other\274.png,107,292,514,1785,806,1892
234,234,other,cropped_ds\no_right_turn\275.png,25,28,851,124,879,149
235,235,other,cropped_ds\priority_road\276.png,23,25,853,100,878,123
236,236,other,cropped_ds\other\277.png,24,24,902,135,926,159
237,237,other,cropped_ds\one_way_street\278.png,18,19,317,141,336,159
238,238,parking,cropped_ds\parking\279.png,20,17,121,132,138,152
239,239,parking,cropped_ds\parking\280.png,13,10,150,137,160,150
240,240,parking,cropped_ds\parking\281.png,10,8,171,134,179,144
241,241,parking,cropped_ds\parking\282.png,55,45,65,157,110,212
242,242,parking,cropped_ds\parking\283.png,17,14,339,210,353,227
243,243,other,cropped_ds\other\284.png,41,45,64,209,109,250
244,244,other,cropped_ds\other\285.png,27,19,558,220,577,247
245,245,other,cropped_ds\other\286.png,19,14,339,226,353,245
246,246,other,cropped_ds\endof_pedestrian_zone\287.png,114,79,302,70,381,184
247,247,no_stopping,cropped_ds\no_stopping\290.png,35,49,419,147,468,182
248,248,parking,cropped_ds\parking\291.png,32,33,421,87,454,119
249,249,parking,cropped_ds\parking\292.png,13,14,291,125,305,138
250,250,other,cropped_ds\turn_right_ahead\293.png,14,16,196,126,212,140
251,251,other,cropped_ds\yield\294.png,14,19,194,113,213,127
252,252,parking,cropped_ds\parking\295.png,42,25,73,111,98,153
253,253,other,cropped_ds\other\298.png,17,22,75,152,97,169
254,254,other,cropped_ds\other\299.png,10,24,74,169,98,179
255,255,other,cropped_ds\other\300.png,16,22,110,102,132,118
256,256,other,cropped_ds\other\301.png,14,25,108,119,133,133
257,257,parking,cropped_ds\parking\302.png,37,23,110,67,133,104
258,258,other,cropped_ds\yield\303.png,18,20,72,332,92,350
259,259,other,cropped_ds\turn_right_ahead\304.png,19,17,74,349,91,368
260,260,parking,cropped_ds\parking\305.png,17,20,219,345,239,362
261,261,parking,cropped_ds\parking\306.png,69,58,637,247,695,316
262,262,other,cropped_ds\other\307.png,47,52,652,313,704,360
263,263,other,cropped_ds\other\308.png,27,51,409,227,460,254
264,264,parking,cropped_ds\parking\309.png,70,60,406,158,466,228
265,265,parking,cropped_ds\parking\310.png,56,24,79,54,103,110
266,266,parking,cropped_ds\parking\311.png,47,24,142,43,166,90
267,267,other,cropped_ds\other\312.png,29,22,81,108,103,137
268,268,other,cropped_ds\other\313.png,33,20,142,92,162,125
269,269,other,cropped_ds\other\314.png,14,24,140,122,164,136
270,270,other,cropped_ds\other\316.png,18,34,379,227,413,245
271,271,other,cropped_ds\other\317.png,11,33,381,244,414,255
272,272,parking,cropped_ds\parking\319.png,42,35,378,185,413,227
273,273,parking,cropped_ds\parking\320.png,43,25,280,130,305,173
274,274,other,cropped_ds\other\321.png,20,27,272,171,299,191
275,275,other,cropped_ds\other\322.png,23,29,268,187,297,210
276,276,other,cropped_ds\other\323.png,40,79,116,224,195,264
277,277,other,cropped_ds\other\324.png,34,23,739,253,762,287
278,278,other,cropped_ds\other\325.png,18,17,621,267,638,285
279,279,parking,cropped_ds\parking\326.png,57,68,138,176,206,233
280,280,parking,cropped_ds\parking\327.png,19,18,339,261,357,280
281,281,parking,cropped_ds\parking\328.png,18,17,203,243,220,261
282,282,parking,cropped_ds\parking\329.png,22,18,622,246,640,268
283,283,other,cropped_ds\one_way_street\330.png,20,16,743,234,759,254
284,284,other,cropped_ds\endof_zone\331.png,752,569,1232,930,1801,1682
285,285,other,cropped_ds\cycleway\332.png,35,27,434,81,461,116
286,286,other,cropped_ds\pedestrian\333.png,144,163,327,79,490,223
287,287,other,cropped_ds\pedestrian\334.png,65,50,576,125,626,190
288,288,no_stopping,cropped_ds\no_stopping\335.png,39,41,822,118,863,157
289,289,other,cropped_ds\no_pedestrians\336.png,72,58,340,156,398,228
290,290,other,cropped_ds\other\337.png,74,62,338,88,400,162
291,291,other,cropped_ds\priority_road\338.png,88,67,335,6,402,94
292,292,other,cropped_ds\other\340.png,41,51,490,76,541,117
293,293,other,cropped_ds\pedestrian\341.png,37,50,492,114,542,151
294,294,other,cropped_ds\other\343.png,32,35,13,108,48,140
295,295,other,cropped_ds\priority_road\344.png,41,42,10,71,52,112
296,296,other,cropped_ds\priority_road\345.png,62,73,99,141,172,203
297,297,other,cropped_ds\pedestrian\346.png,52,53,103,200,156,252
298,298,other,cropped_ds\pedestrian\347.png,56,86,757,170,843,226
299,299,other,cropped_ds\priority_road\348.png,72,88,733,102,821,174
300,300,other,cropped_ds\priority_road\349.png,19,20,363,128,383,147
301,301,other,cropped_ds\priority_road\350.png,19,23,359,110,382,129
302,302,other,cropped_ds\pedestrian\351.png,47,69,742,152,811,199
303,303,other,cropped_ds\one_way_street\352.png,32,39,623,92,662,124
304,304,parking,cropped_ds\parking\353.png,40,37,622,123,659,163
305,305,parking,cropped_ds\parking\354.png,27,17,90,131,107,158
306,306,parking,cropped_ds\parking\355.png,15,12,198,161,210,176
307,307,other,cropped_ds\other\356.png,18,17,90,156,107,174
308,308,other,cropped_ds\other\357.png,18,14,380,169,394,187
309,309,other,cropped_ds\other\358.png,30,42,617,162,659,192
310,310,other,cropped_ds\pedestrian\359.png,117,118,403,141,521,258
311,311,other,cropped_ds\endof_zone\360.png,1222,935,997,995,1932,2217
312,312,other,cropped_ds\one_way_street\363.png,15,13,536,206,549,221
313,313,other,cropped_ds\other\364.png,26,38,72,213,110,239
314,314,other,cropped_ds\other\365.png,45,49,117,196,166,241
315,315,other,cropped_ds\other\366.png,13,51,115,242,166,255
316,316,other,cropped_ds\one_way_street\367.png,49,50,120,87,170,136
317,317,parking,cropped_ds\parking\368.png,62,52,118,134,170,196
318,318,other,cropped_ds\pedestrian\369.png,126,127,325,123,452,249
319,319,other,cropped_ds\pedestrian\370.png,95,95,29,84,124,179
320,320,other,cropped_ds\pedestrian\371.png,130,148,314,119,462,249
321,321,other,cropped_ds\one_way_street\372.png,47,52,118,87,170,134
322,322,parking,cropped_ds\parking\373.png,61,48,120,134,168,195
323,323,other,cropped_ds\other\374.png,43,54,113,197,167,240
324,324,other,cropped_ds\pedestrian\376.png,63,55,326,192,381,255
325,325,no_stopping,cropped_ds\no_stopping\377.png,68,69,642,164,711,232
326,326,other,cropped_ds\pedestrian\378.png,44,36,187,187,223,231
327,327,other,cropped_ds\pedestrian\379.png,30,30,170,161,200,191
328,328,other,cropped_ds\stop\380.png,31,30,102,147,132,178
329,329,other,cropped_ds\pedestrian\382.png,37,33,688,121,721,158
330,330,other,cropped_ds\one_way_street\383.png,24,23,598,78,621,102
331,331,parking,cropped_ds\parking\384.png,32,25,597,100,622,132
332,332,parking,cropped_ds\parking\385.png,30,24,114,89,138,119
333,333,parking,cropped_ds\parking\386.png,15,12,234,125,246,140
334,334,other,cropped_ds\other\387.png,21,23,115,117,138,138
335,335,other,cropped_ds\other\388.png,9,23,116,138,139,147
336,336,other,cropped_ds\other\389.png,21,23,596,131,619,152
337,337,other,cropped_ds\other\390.png,10,27,593,151,620,161
338,338,other,cropped_ds\other\391.png,85,61,42,179,103,264
339,339,other,cropped_ds\other\392.png,27,52,46,264,98,291
340,340,other,cropped_ds\other\393.png,62,47,731,248,778,310
341,341,parking,cropped_ds\parking\394.png,123,64,45,64,109,187
342,342,parking,cropped_ds\parking\395.png,81,43,731,168,774,249
343,343,other,cropped_ds\pedestrian\396.png,40,41,301,171,342,211
344,344,no_stopping,cropped_ds\no_stopping\397.png,29,29,273,162,302,191
345,345,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\398.png,20,21,233,94,254,114
346,346,parking,cropped_ds\parking\399.png,15,11,35,82,46,97
347,347,other,cropped_ds\pedestrian\400.png,96,56,360,115,416,211
348,348,other,cropped_ds\pedestrian\401.png,38,38,431,335,469,373
349,349,no_stopping,cropped_ds\no_stopping\402.png,26,28,402,327,430,353
350,350,other,cropped_ds\pedestrian_zone\403.png,84,90,369,93,459,177
351,351,other,cropped_ds\one_way_street\404.png,42,55,394,172,449,214
352,352,other,cropped_ds\other\405.png,43,57,396,213,453,256
353,353,other,cropped_ds\pedestrian_zone\406.png,110,88,220,123,308,233
354,354,other,cropped_ds\pedestrian_zone\407.png,76,68,265,158,333,234
355,355,other,cropped_ds\pedestrian_zone\408.png,800,600,1280,1013,1880,1813
356,356,other,cropped_ds\pedestrian_zone\409.png,909,713,1184,986,1897,1895
357,357,other,cropped_ds\pedestrian_zone\410.png,1374,1152,784,778,1936,2152
358,358,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\412.png,39,22,581,221,603,260
359,359,other,cropped_ds\one_way_street\413.png,17,20,322,244,342,261
360,360,other,cropped_ds\other\414.png,16,20,322,260,342,276
361,361,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\415.png,43,27,579,219,606,262
362,362,other,cropped_ds\one_way_street\416.png,16,20,321,243,341,259
363,363,other,cropped_ds\pedestrian_zone\417.png,90,74,119,210,193,300
364,364,other,cropped_ds\shared_pedestrian_and_cycle_path\418.png,200,167,1219,1290,1386,1490
365,365,other,cropped_ds\shared_pedestrian_and_cycle_path\419.png,227,200,1256,1063,1456,1290
366,366,other,cropped_ds\endof_pedestrian_zone\420.png,1613,1278,1049,1939,2327,3552
367,367,other,cropped_ds\speed_limit_zone\422.png,1609,1669,445,73,2114,1682
368,368,other,cropped_ds\endof_pedestrian_zone\423.png,1766,1313,793,1573,2106,3339
369,369,other,cropped_ds\endof_pedestrian_zone\424.png,1774,1387,1019,1769,2406,3543
370,370,other,cropped_ds\speed_limit_zone\425.png,1613,1665,732,243,2397,1856
371,371,other,cropped_ds\stop\426.png,530,291,1210,1206,1501,1736
372,372,other,cropped_ds\other\427.png,422,270,1240,1684,1510,2106
373,373,other,cropped_ds\other\428.png,662,445,922,1994,1367,2656
374,374,other,cropped_ds\stop\430.png,33,35,128,103,163,136
375,375,other,cropped_ds\pedestrian\431.png,33,35,200,118,235,151
376,376,other,cropped_ds\stop\432.png,109,123,551,137,674,246
377,377,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\433.png,52,58,311,224,369,276
378,378,parking,cropped_ds\parking\434.png,64,33,100,203,133,267
379,379,other,cropped_ds\pass_on_right\435.png,44,39,513,288,552,332
380,380,other,cropped_ds\turn_left_ahead\437.png,195,199,1483,1465,1682,1660
381,381,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\438.png,71,62,856,1683,918,1754
382,382,other,cropped_ds\cycleway\439.png,65,67,940,1738,1007,1803
383,383,other,cropped_ds\turn_left_ahead\440.png,586,572,815,949,1387,1535
384,384,other,cropped_ds\turn_right_ahead\441.png,59,90,572,352,662,411
385,385,other,cropped_ds\yield\442.png,57,107,541,295,648,352
386,386,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\443.png,10,15,220,392,235,402
387,387,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\444.png,10,10,67,389,77,399
388,388,other,cropped_ds\turn_right_here\445.png,39,41,311,65,352,104
389,389,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\446.png,65,66,40,165,106,230
390,390,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\447.png,52,56,757,180,813,232
391,391,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\448.png,26,28,305,245,333,271
